Title,Contents,Date
I messaged you almost a week ago asking…,"I messaged you almost a week ago asking for help and you only get back to me today? This is appalling customer service. I’ve always ordered from ASOS for years and the one time I need help from you to assist me with something, you give it 6 days later. The “typically replies within a few hours” is a lie on your Facebook platform. I’m really not happy with this and you’ll probably do nothing to change your approach in the future, I guess this is just how you help your customers now.","Dec 12, 2019"
Completely understood everything thank…,Completely understood everything thank you,"Dec 12, 2019"
Great swift customer service,Great swift customer service,"Dec 12, 2019"
vvv good :),Guy was really friendly and v helpful. asos chat help never fails to succeed and actually help :)),"Dec 12, 2019"
it was simple and easy to get in touch…,it was simple and easy to get in touch with a customer service rep via the online chat feature.,"Dec 12, 2019"
Excellent customer service!,Sapphire was very helpful and helped me get my returns query resolved in a quick manner. Thank you so much once again!,"Dec 12, 2019"
Had an issue with my parcel being delivered,Had an issue with my parcel being delivered which doesn’t usually happen. Harry on the online chat was very helpful and sorted this out straight away. It’s very appreciated,"Dec 12, 2019"
Really nice chatting and helpfull,Really nice chatting and helpfull,"Dec 12, 2019"
Worst customer service ever received.,Worst customer service I have ever received. Appalling.Doesn't even deserve 1 star but can't give none!,"Dec 12, 2019"
Thank You for helping me and being…,"Thank You for helping me and being patient, I really appreciate it.","Dec 12, 2019"
Devarna was very helpful and quick to…,Devarna was very helpful and quick to respond with thorough answers.,"Dec 12, 2019"
It has been a week since the…,"It has been a week since the conversation started, days have passed in between responses.I still have not had a direct answer to my question, ridiculous customer service.","Dec 12, 2019"
Leighann was very helpful in answering…,Leighann was very helpful in answering my concerns regarding my missing items from my order and quickly scheduled a replacement to be sent.,"Dec 12, 2019"
Good,Great services,"Dec 12, 2019"
Awful service,"I ordered a parcel 17 days before a holiday, in the week previous I contracted them several times via Facebook, Twitter and a phone call for there employees in which I got no help whatsoever, after being promised it would arrive on a certain date by server all different people it didn’t and was three days late than it was promised. Awful experience,  o have been a loyal customer for over ten years and have found the staff very rude and the people not helpful at all. DO NOT BUT FROM THIS OVER PRICED AND UNHELPFUL COMPANY","Dec 12, 2019"
very disappointed,"It took 3 days for customer service to get back to me, and when they did the information given was unhelpful. I ordered a pair of shoes, was sent the completely wrong pair, and by the time customer service got back to me the shoes I wanted originally were sold out. The only option I was given was to return the wrong pair for a refund, but nothing about the fact that the shoes I ordered are out of stock. I sent a follow up message detailing my frustrations and have not gotten a response. That was 4 days ago. I feel like the responsibility is on me to fix asos’ mistake and I am not being helped or compensated at all.","Dec 12, 2019"
Always ok if they use dpd for next day…,Always ok if they use dpd for next day delivery ... Hermes however is hit and miss - sort them out ASOS !!,"Dec 12, 2019"
eh...,"I really love the idea and merchandise of ASOS, but their customer service is horrible.  I love how they have a wide range of clothing type like wide shoes, clothes for petite women and larger breasts.  They have sales and promotions but screw you over in the fine print when you need to return something.  Stay away from buy a certain amount and get a certain amount off.  And their sales rep get very smart with you too.  Just be careful when you buy and think about if you really want to go through the hassle if anything were to happen.","Dec 12, 2019"
Lovely chat support!,"My order had an issue with being shipped however, it was taken care of quickly and with no hassle! I would say chat is the best way to get a hold of them for sure.","Dec 12, 2019"
Would give ZERO stars!!,"Would give ZERO stars! Absolute joke of a customer service team. Package was due for delivery, never appeared, when I asked what was happening was brushed off before eventually being told it was actually being sent back to ASOS for no reason and basically ‘tough luck’ if you want them again you can reorder but you’ll need to pay full price, despite buying them in the Black Friday sale. Was ignored when I asked to speak to someone on the phone rather than just over twitter. Some of the worst customer service I’ve ever experienced.","Dec 12, 2019"
Worst Customer Service,Customer service NEVER gets back to you when you have a problem. Terrible experience and worst company. Sent multiple emails AND tried reaching out through messenger and this was several times several weeks ago.,"Dec 12, 2019"
Love asos,Love asos! I use it all the time. They do so many different brands you can always find what you’re looking for!,"Dec 12, 2019"
unreliable And lazy,"Was really enjoying shopping on Asos, but then on the 11th of December, when it was due to arrive nothing came. It’s the 12th and there is no sign of anything and they aren’t responding. I placed my order on the 30th of November and the didn’t bother to shop it till yesterday which tells me why. Won’t respond and can’t track my order. After seeing reviews where they waited weeks, I’m nervous because I have a party I need the clothes for.... will not be using again stay away from ASOS","Dec 12, 2019"
Would always recommend,"Customer service is usually very quick and responsive, any issues are resolved in a timely manner. I have premier delivery and normally it comes next day, only time I am kept waiting is when they use Hermes delivery. The clothing is a mixed bag due the variety of brands etc.","Dec 12, 2019"
thanks,quick and simple,"Dec 12, 2019"
Placed an order that has not been…,"Placed an order that has not been dispatched, delivered and I can’t get a refund.","Dec 12, 2019"
Customer service has always been great…,"Customer service has always been great and the range of sizes and fits (petite, tall, plus etc) are awesome.","Dec 12, 2019"
Feedback for Rem,Feedback for Rem. Very efficient in dealing with my delivery problems.,"Dec 12, 2019"
Great customer service,"Got an item with a fault (a stain). Spoke to Charlotte on Live Chat, and she was lovely, and arranged for a free replacement :) Would absolutely reccomend - good value, good service, good times :D","Dec 12, 2019"
Good customer service,"Good customer service, easy to get a hold of via chat and quick to fix issues, however this is the second order I've made in a couple of months where the parcel has been delivered damaged and items have been missing. This time it was a box that was gaping open and last time the bag had rips in it. Not great, but I'm not sure if it's Asos's fault or the delivery company.","Dec 12, 2019"
Truly wonderful service,"Truly wonderful service, very personable and even helped with my outfit situation! Loved her, Thanks again Miheala <3","Dec 12, 2019"
Truly wonderful service,"Truly wonderful service, very personable and even helped with my outfit situation! Loved her, Thanks again Miheala <3","Dec 12, 2019"
The worst customer service.,"The worst customer service I have ever dealt with. I have been a customer of ASOS for a long time, having made many orders. On Monday, they used DPD to deliver my parcel. DPD left my parcel in an unsafe place, which i did not ask them to do. This led to my parcel being stolen and I am now out of pocket. I emailed ASOS on Monday for them to review this. I emailed their Care inbox, but received a bounce back saying their inbox was full. I then emailed Nick B, their CEO. So far, I have had no response. I then messaged them on Facebook on Tuesday and still, no response. I have had a few friends also complain to ASOS recently about wrong items being delivered and they have gotten no where with their complaints team. Asos seem very quick to apologies but are reluctant to offer any help or compensation.","Dec 12, 2019"
I had a good chat with Mihaela,"I had a good chat with Mihaela, as i have been waiting for a delivery for over a week, she was helpful","Dec 12, 2019"
I’m a regular customer of Asos and I…,I’m a regular customer of Asos and I enjoy the next day delivery service . I have a daughter with a disability so it great we can order on line and get the next day delivery . However at Xmas it’s total chaos ! I expect there to be delays etc but when my items did finally arrive they had sent me someone else’s order . When I attempted to speak with their customer service ( no phone  option ) I was placed in a huge queue for 45 minutes to be told they would try and refund but it will take time. Etc They need to employ more staff for the Xmas period . Don’t order if you want anything in a hurry,"Dec 12, 2019"
Quick and helpful response ❤️,Quick and helpful response ❤️,"Dec 12, 2019"
Rebecca was amazing,"Rebecca was amazing, provided fast and quick customer service. Made it an enjoyable experience.","Dec 12, 2019"
Use Hermes? Get One star reviews 👍🏻,Parcel late and parcel damaged upon arrival. ASOS ‘customer services’ completely disinterested. Order sent back and will never be ordering from ASOS again,"Dec 12, 2019"
help,very helpful,"Dec 12, 2019"
DO NOT ORDER ANYTHING FROM ASOS AS IT WONT COME,"I ordered a coat on the 28th november and chose standard delivery as it said i would recieve it on the 2nd december which was fine as i needed it for my holiday on the 6th. I recieved an email sating they were busy and i would recieve a confirmation email soon. I recieved the email at half 1 in the morning and the delivery date had changed to the 9th so i called them the next morning and they said due to black friday they had to extend the delivery date. I asked them to cancel it as i needed it for my holiday which they said they couldnt do as i could only cancel an hour after placing the order even though it wasnt despatched. The package was despatched on the 6th and has been with hermes now since sunday, the 9th has been and gone and we are now on the 12th. I called and spoke to asos on rhe 11th who advised i needed to wait 4 days till they can offer a refund. Having just got off the phone to them they have advised i was given the wrong information and i had to wait 7 days after the delivery date. Very unprofessional if you ask me, they are quick to take your money but not quick to give it back when its their mistake. Will never order from asos again!!!","Dec 12, 2019"
Missing parcel,"Ordered a parcel on 28 November. Estimated delivery date was 9 December! It's now 12 December and no communication from them or updated delivery date. Come on ASOS, sort it out.","Dec 12, 2019"
Woe betides you if you order on standard delivery,"I placed a standard delivery on my ASOS account nearly two weeks ago.I have called them several times letting them know that one of the items ordered if to be worn to a funeral.Still this didn’t move them to hurry my ordered. They then dispatched my order December 11th to be delivered by December 12th estimated delivery.The irony is that Hermes has my order but from the tracking it won’t be delivered today.Just don’t shop with ASOS!!! Bad, bad and more bad.Useless!","Dec 12, 2019"
Charlotte was very helpful in sorting…,Charlotte was very helpful in sorting out my query and advised me what steps to take in returning a faulty item as i have never had to do this before.,"Dec 12, 2019"
I ordered a Nike hoodie for my daughter…,I ordered a Nike hoodie for my daughter and the item was delivered to someone other than me and I sent ASOS CUSTOMER CARE an email and the would not help me out. I gave them my order number and they are asking me to send them another email from I have no idea where. So now I'm out 60.00 and a hoodie for my daughter . Don't shop from here people. They don't care if you recieved your package or not.,"Dec 12, 2019"
Don’t pay for premier!,"Terrible customer service taking 6 days between responses via messenger. Then, the response is ignorant to the original points raised. Shocking customer service.","Dec 12, 2019"
Timely and informative response,Timely and informative response! Thank you Emily for your support with my query,"Dec 12, 2019"
Love you ASOS,"Always had a great experience with ASOS, every time I need to know where my parcel is they’re always there to answer and it makes me less stressed! I’m definitely a a loyal customer and have made hundreds or orders, and never had a bigger problem than a day late delivery. Love love love them!","Dec 12, 2019"
Rebecca is great!,Rebecca is great! The Chat assistant service is seriously awesome! Thanks ASOS and Rebecca.,"Dec 12, 2019"
Great help and advice A+,Great help and advice A+,"Dec 12, 2019"
She is very understanding and responds…,She is very understanding and responds quickly,"Dec 12, 2019"
VERY helpful,"VERY helpful, courteous and fun....answered all my questions with good advice...problem solved!!!  Thank you Joanna :)","Dec 12, 2019"
HERMES advised item was delivered (it…,HERMES advised item was delivered (it wasnt). Sophie on chat was very helpful and is arranging for a replacement.,"Dec 12, 2019"
Good support,Good support,"Dec 12, 2019"
Fast response and well has fast problem…,Fast response and well has fast problem solving. Friendly staff that are happy to help with any questions and problems.,"Dec 12, 2019"
Had a rather difficult time tracking a…,Had a rather difficult time tracking a return until I've got through to April on the online chat. She made a struggle of two weeks get solved in 5 minutes. Amazing customer service and very lovely.,"Dec 12, 2019"
natika helped!,Natika helped resolve my issue quickly and efficiently.,"Dec 12, 2019"
I spend too much time & money on ASOS,I have NEVER had a bad experience with ASOS. Whenever I have contacted customer service (about faulty clothes or missing returns) they have always been absolutely amazing.,"Dec 12, 2019"
I had an issue with a return,"I had an issue with a return, spoke to someone using ASOSlivechat and my problem was resolved super quickly.Excellent service","Dec 12, 2019"
Amy was really helpful!,Amy was really helpful!,"Dec 12, 2019"
False advertising,"Be aware of your account being closed without notification or explanation. An online shopping site which offering free postage and return but then terminate service to customer due to return frequency? I had made thousand dollars of purchasing before getting deactivated without notice, then chasing after their customer service and being terminated time to time during the chat when I need to sort out the return for my last order (which has not been delivered yet and can no longer be lodged a return from my account). I don't think anyone deserve to be humiliated this way when you pay money for a service. ASOS need to learn their lesson. If you can not afford a sale or a service such as free postage or free return, DO NOT offer it.","Dec 12, 2019"
live chat service much better than…,live chat service much better than facebook messenger. Sorted my issue in minutes compared to a week waiting for a reply,"Dec 12, 2019"
Bad customer service,They were no help at all!!,"Dec 12, 2019"
Not the best online store to shop at,Not the best online store to shop at. Be sure to figure out all of the promotions you are given before ordering. As they might only tell you after you received your items. If the form fit properly be prepared to pay for the customs charges and return fees.,"Dec 12, 2019"
Order NO.:454615035,"Order NO.:454615035Madelaine DI love shopping at ASOS and buy clothes from them at least once a month. While I have rarely ever had issues with the clothes , recently the customer service has been awful. They have introduced Facebook messenger and the waiting time is crazy. I accidently put my old address down for my order and I have no idea where the TrakPak depot is, the local post office say they don't have it but here in Melilla there's no other site. I got no answer about the depot from ASOS despite stating that it's time sensitive . so it looks like all the items I bought in the sale will be returned, great!","Dec 12, 2019"
Excellent customer care from Kris.,Excellent customer care from Kris.,"Dec 12, 2019"
Had an issue with my delivery,"Had an issue with my delivery, they refunded me straight away and was lovely. Such helpful customer service, really pleased. :-)","Dec 12, 2019"
Send a live chat on the 1st December…,"Send a live chat on the 1st December letting them know I couldnt apply the 25% off offer code on their website had no response, wrong items have been sent and nobody seems interested to get this resolved! worst customer service team to date.Never get replies always in a ""que""","Updated Dec 12, 2019"
Customer care helped alot.,Customer care helped alot.I just want you guys to also give option for courier services other then postal service for delivering parcels that would be a great too...Thanks for helping me out.,"Dec 12, 2019"
Very Helpful!,Very Helpful!,"Dec 12, 2019"
I had to wait a little bit,"I had to wait a little bit, but the customer support was great!","Dec 12, 2019"
Excellent Customer Service,"Helpful, efficient and reassuring customer service regarding a delay with my parcel. Felt at ease knowing that it is being dealt with.","Dec 12, 2019"
Taran has been very efficient and…,Taran has been very efficient and helpful thank you,"Dec 12, 2019"
Ordered a package on the 28th November..,"Ordered a package on the 28th November that never arrived, contacted customer service and was advised a replacement would be sent, tried to contact again as no replacement was received and then after no response was issued a refund with no explanation or contact, when i contacted again i was advised simply to reorder the clothes on the app. Asked to speak to a manager and was simply told to leave a trust pilot review as they have no customer service department. Really unhappy with the way this been handled.","Dec 12, 2019"
no reply to issue,"Normally don't have an issue with ASOS but its been 2 weeks since I ordered my items which were next day delivery and haven't arrived. I tried to get in touch with them 5 days ago through; email, instagram and facebook and have had no response. As I said though I've had no other issues with them in the past so hopefully this can be resolved soon.","Dec 12, 2019"
"Read this through and you will be ""impressed""","Read this through and you will be “impressed” how Asos works. I placed a big order during Black Friday sales. The order was worth 1000 euro and had in total around 55 items. Due to the fact, that you can apply promotions only with orders less than 500 pounds/euros – I had to divide it into 2 parcels, therefore I received 2 confirmations and 2 tracking references for both packages. I was e-mailed regarding delivery date, and was patiently waiting for the order. On the actual delivery date (it was Friday), I received an e-mail that 1 out of 2 packages was not delivered due to the fact that address was UNDEFINED (I received many other packages from other couriers and never had an issue), where second parcel was still on delivery way and should be expected on Monday. I started contacting Asos – they said there is nothing they can do, Asos transferred this package to delivery company and have no responsibility for it, and according to tracking information from delivery company package is going to be returned back to Asos distributor centre.  Of course I got upset, its Holiday time, Black Friday sales and presents for family. I asked them what we can do about this situation, and if it’s possible for Asos to re-send this package to me again. They said that according to their policies, that are not allowed to re-send the orders, and all they can do is provide a refund. Basically, they said that I should expect money back on my account within 14 business days, meanwhile I can add all the items to the cart again and place a new identical order – this is the only solution they provided. I said okay, I understand everything might happen in this life and let’s move forward. When I started placing new order, I realized that 20 out of 25 items that were in my order are currently OUT OF STOCK, because everything was sold out during black Friday. That was a big problem, since there were many specific items that I really needed. I also took in account, that Black Friday had 25% discount on all items, where I didn’t have that privilege anymore. Logically, I asked for the Asos representative on the phone, to at least generate a new discount code for me as it was available during black Friday. After all the frustration, I still wanted to understand their part and go forward with it. All I asked is to “put me in the same shoes” as I was when placing the order which was not delivered – this is the only fair solution. Please take in mind, if Asos provides 25% discount code, I STILL CANNOT BUY ALL DESIRED ITEMS BECAUSE THEY ARE SIMPLY OUT OF STOCK. Eventually, my shopping experience went fully in a wrong way. Eventually, Asos representative said that there IS NOTHING AT ALL THEY CAN HELP ME WITH. ZERO HELP WAS POVIDED. They were not willing to provide any sort of compensation…. I also explained them that I am leaving the country for Holidays, and really need my orders according to delivery date, but again there is nothing they can do…. I truly did not see any human being cooperation..Getting back to the second parcel – first parcel was not delivered and send back to Asos (on Friday), where second parcel eventually successfully arrived on Monday!!!! HOW IS THAT POSSIBLE??? Just to clarify. Both parcels were ordered at the same address. One parcel doesn’t get to the destination point and reason was: ADDRESS UNDEFINED, where second parcel successfully arrived 2 days after?????!!!! Where is the logic???? None of the parcels should of been delivered in this case. There you can clearly understand that it was an issue with delivery company or specifically delivery person, who simply couldn’t find the address in one day, and eventually found it 2 days later…..After receiving second parcel on Monday, I called Asos immediately to clarify how is that possible. They said they are also very impressed that this happened, and it makes no sense how first parcel was not delivered but second got the point. Eventually, they could see that its totally not my fault and it creates a big issues for me as a customer. Therefore, I asked them again what we can do about first parcel that was not delivered, since I really needed those items. Their answer was not different: there is nothing we can do – please place a new order. I asked them straight forward: 1. What about 25% discount that was available during black Friday? I don’t have that option anymore.2. And what about all the items that I purchased and are in stock anymore? Answer was typical: nothing we can do – we apologize for inconvenience. In my opinion you have more than enough power to make your customer happy and satisfied. Desire is another question. Eventually, I decided to let it go. I lost too many nerves in last couple days having all this discussions with Asos, meanwhile zero help was received. I just decided to let it go…. I’m a fighter type of person, but I realized if they are not willing to help after all my tries and effort – than I cannot make them help me. I still needed my clothing items, so I went online, chose new items (since items that I ordered before were out of stock..) and proceeded with the order. Before making the payment, I decided to call Asos again to ask regarding Premium Delivery. (Reminder: I have to go abroad for holiday and have time limitations, therefore I cannot wait for another 2 weeks for standard delivery, and had to use Express delivery). My question was next: If I am physically located in the Netherlands, but I use Asos UK region for shopping, would Premium Subscription work in this case? Asos representative who was speaking with me on the phone, asked to hold for a minute while he can discuss it with his team, when he got back he assured me for 100% that I can purchase Premium Subscription in Netherlands and use any store region from Europe to make a purchase. All European countries work in chain, and it doesn’t matter from which region you order – it will be delivered within 2 working days by Premium Delivery. I said thank you and proceeded with the order. Eventually, when I received an order confirmation it said delivery should be expected by December 20, which is 2 weeks/not 2 days - after order was placed…….. I called Asos again… Every time you call them – you speak with different person of course. What you think they said? No sorry, if you are from Netherlands you can only use Premium Delivery for Netherlands Region…. HOW THE HELL is your staff so UNPROFESSIONAL AND SO UNEDUCATED? They provide fake information to customers, who suffer from it.. Instead of helping me out with my issue, they put me in even worst situation. Eventually, I decided to never come back to Asos anymore and spread the word about this situation to others. I am waiting for my new placed orders to arrive and I will forget about Asos as a bad dream. This is the worst shopping experience in my life. I lost five days contacting Asos daily through the phone and online chat, spoke with 20-25 different representatives, where none of them provided needed help, but oppositely were providing disinformation and being rude.Couple more things from my conversations with Asos team, which “killed me” : 1. If you go to Asos.nl which is Netherlands region website, under support page they do not have CHAT option available at all. It’s simply disabled for Netherlands. I had to go to UK region, where eventually my order was placed, in order to communicate through CHAT. Ten out of twenty times, Asos representatives were not even willing to cooperate with me, and their reason was: Sorry, you are from Netherlands region, and you speak with Asos UK. We are going to transfer you to NL team where they can help you out. EVENTUALLY THEY SIMPLY CLOSE THE CHAT. There is not transfer. Employees are not even aware that NL region doesn’t have CHAT OPTION. WHO ARE THEY GOING TO TRANSFER ME TOO????? That is crazy and fully unprofessional…. They simply hang up on you and say we are going to transfer you, where nothing eventually happens and you sit and wait there like an id1ot..2. Staff is very uneducated. They tell you things which they have no clue about. PREMIUM DELIVERY information was fully wrong. Information was fake and manipulated me to do the wrong moves, where I have to suffer again. One employee says one things, another employee says completely another thing.3. Besides contacting Asos through Online Chat and Phone, I sent them 2 emails, where response should be received within max 48 hours. None of my emails were answered, its been a week. P.S. I am a good person, but I truly hate you for your service and the way you deal with customers. I will do my best letting people know what kind of service you provide especially during HOLIDAYS.","Dec 12, 2019"
Very Helpful,Very Helpful My parcel was delivered and left outside house by Hermes. It wasn't there when I arrived home. Quickly sorted it out for me and offered a replacement or refund.,"Dec 12, 2019"
Unbelievable,I ordered on black Friday the DKNY textured leather zip around purse(large) and they sent me the DKNY leather zip around wallet(small). At first I thought that it was just a mistake of them. But when I saw what they have done I was shocked. They changed the discriptions AND images AND prices.The purse is now called wallet and the wallet purse!! On black Friday the wallet(small) was way cheaper than purse(large). I paid for the large one and they sent me the small one and they havent even apologised for it!!! Unbelievable!! I have been customer to ASOS for years but  I'll never purchase anything from ASOS again!!!,"Dec 12, 2019"
Ella deserves a pay rise!,Ella was absolutely fantastic at helping today. It was a very longwinded return and she was great. 100% an asset to asos. Very friendly and sorted my problem for me.,"Dec 12, 2019"
ASOS has a fantastic customer service…,ASOS has a fantastic customer service team.Quality of clothes always as described and a fantastic choice for all shapes and sizes.quick delivery and easy returns.Love ASOS!!,"Dec 12, 2019"
Adil have been brilliant helping me…,Adil have been brilliant helping me with the problem which I have had for two weeks. Everytime I contacted ASOS I was out fobbed off and been told they are busy. So thank you Adil for solving this problem for me. 5 🌟 for you,"Dec 12, 2019"
I spoke to Mia and straight away she…,"I spoke to Mia and straight away she offered a replacement for a missing item in the advent calendar.  Albeit she has to pass it off to another team so I actually don't yet know if this is resolved, but Mia did what she could and responded really positively","Dec 12, 2019"
LOVE ASOS AS ALWAYS,LOVE ASOS AS ALWAYSNo other online store compares to ASOS and their customer careI will always forever shop at ASOS,"Dec 12, 2019"
Fantastic customer service!,Fantastic customer service!,"Dec 12, 2019"
Waiting for my order over 15…,"Waiting for my order over 15 days,inpossible to connect with customer service team, as from 10 e-mails they answer  ones, told me to wait to 9th of December. My estimate delivery date was on 28 of November. I tried online chat but I am always on a  Que, and nobody answer. I am tired of sending an e-mails. Cant get my money back and do not recieve my items, same time no answer. Worst service and online shop. I will never purchase anything from them","Dec 12, 2019"
"Great customer service, as ever!",Adil was very helpful. I couldn't find a way to use my NUS/TOTUM account to get 10% off like I usually do. He was quick to respond and sent me a direct link to use and was very pleasant to chat to! I use ASOS very regularly and have always experienced great customer service.,"Dec 12, 2019"
Excellent customer service and great…,Excellent customer service and great value for money,"Dec 12, 2019"
The representative was unhelpful,The representative was unhelpful. appeared to mostly copy and paste responses. did not present me with a solution and just closed the chat without letting me know.,"Dec 12, 2019"
I was helped by two excellent customer…,I was helped by two excellent customer service reps who handled everything fast and efficiently!,"Dec 12, 2019"
Ravika was very helpful,"This time Ravika was very helpful so it would be a five star, but last time I contacted customer care with an issue they did not give any solution and they primised to get back later but nothing happened.","Dec 12, 2019"
Update,"Update: I ordered 3 weeks ago for next day delivery which never arrived. Tried to contact them via chat, fb messenger, phone and email but couldn’t get a straight answer off anyone and they were just not interested! Finally today I received confirmation of my refund but it is £45 short, dont even know how that’s possible as they surely just refund the whole order. The process has been so long and stressful and when I think I’ve reached a resolution it’s wrong. Can’t believe how badly Asos have gone down hill and will definitely never use them again. Also the fake reviews on here are so easy to spot and it’s alarming how many similar reviews to mine are on here","Dec 12, 2019"
Nimat,I chatted with Nimat today in live chat. It was a helpful conversation and he advised me on what to do with my parcel to locate it and I have just received it.,"Updated Dec 12, 2019"
Chuck 70 Sizing,"I purchased a pair of Converse Chuck 70 on their website, and I selected US size 9 expecting it to be men sizing. When I received my pair, it was a women size 9 (way to small for me). No where on the page did it describe what the sizing was for women or men nor was there a sizing chart. While I am able to return the shoes, I am unable to get the discount if I reorder the correct, since I purchased these shoes on Black Friday and got 30% off, because the “correct item” was sent. I’m","Dec 12, 2019"
Was great advice,Was great advice,"Dec 12, 2019"
Magdelina  was great help and gave me a…,Magdelina  was great help and gave me a good helpful experience,"Dec 12, 2019"
Joanna was very helpful and prompt with…,Joanna was very helpful and prompt with her response,"Dec 12, 2019"
Efficient customer service,I don't always have a smooth service with ASOS but their customer service team are extremely efficient and helpful. Thank you Gwenne.,"Dec 12, 2019"
great service!,the customer service agents have great understanding of customer queries and issue. they are able to source a solution very quickly. really friendly.,"Dec 12, 2019"
Everything perfect 👌🏼,Everything perfect 👌🏼,"Dec 12, 2019"
Daniel was very easy to deal with and…,Daniel was very easy to deal with and understand customer experience principles.,"Dec 12, 2019"
Thanks!,Abbas was nice and he really helped me! Thanks again!,"Dec 12, 2019"
Thanks for the fast response.,Thanks for the fast response.,"Dec 12, 2019"
Spot on about every query,Spot on about every query. Awesome.,"Dec 12, 2019"
Hanim was super quick and helpful,Hanim was super quick and helpful,"Dec 12, 2019"
It is what it is,It is what it is. Glad live chat was helpful.,"Dec 12, 2019"
Frankie was absolutely amazing in…,Frankie was absolutely amazing in dealing with my problems and resolved them as quickly as he could.,"Dec 12, 2019"
He was helpful and promised a replacement,He was helpful and promised a replacement since I couldn’t get any track about my package,"Dec 12, 2019"
Quick responses!,"Quick responses, answered all my questions and corrected the issue!","Dec 12, 2019"
First and last experience with asos,"If I could give less than one star, I would. Your team has been extremely unprofessional. I reached out yesterday on Facebook, got a response asking my inquiry, and never heard back until after I tweeted your team today. They did not respond to my problem on Twitter but replied to my FB messenger from the day before. Then they didn’t answer my response to the fb messenger until I tweeted again. I tried to email but ASOS website is so slow and uncooperative. I am waiting to hear back from a new team of customer care and hope that ASOS does right by me. This was my first attempt at a purchase from ASOS and may possibly be my last.","Dec 12, 2019"
Easy to deal with and able to solve any…,Easy to deal with and able to solve any issues straight away!,"Dec 12, 2019"
Marta was SO lovely and helpful!,Marta was SO lovely and helpful!,"Dec 12, 2019"
Going an extra mile,This person helped me by going an extra mile. I had reached out to Asos for a return two times already and when this person helped me they read the previous chats before talking to me which makes a big difference as I don’t have to explain again and again.,"Dec 11, 2019"
no way to track your delivery status,"it has always been a great experience using Asos, but this time the parcel took 9 days and it still hasnt arrive yet. the tracking tool just shown it s still in London. I have called the courier company Skynet, sent them an email but nothing could help. and i tried to reach ASOS Customer service through live chat but it seems they cant give me an answer either. i feel disappointed and abit skeptical about buying things from ASOS anymore.","Dec 11, 2019"
She provides good and fast service,She provides good and fast service. Thank you so much,"Dec 11, 2019"
Delivery failed but good customer service,Delivery failed,"Dec 11, 2019"
Jerome was absolutely amazing I  was…,Jerome was absolutely amazing I  was really worried that my order problem would be some massive issue and I would have to fight my corner but its never been so easy and calming the outcome of my chat put a smile on my face so thanks Jerome I hope your managers give you very high praise! I wish every customer service experience was like yours!!hes a great hire well done asos!!,"Dec 11, 2019"
Far from disappointed as I didn’t not…,"Far from disappointed as I didn’t not receive any updates on my order due to a technical issue as advised from customer care. They couldn’t let me know where is my order and had me wait after the due date of the delivery to tell me the order never left their wear-houses!!!! This has caused me spending more money to find another dress to replace the one I should have received plus additional time for it as I have only 3 hours to replace it if I find something! Totally unprofessional, need serious work on their policies! I will NEVER attempt to buy from ASOS again!!!! You have officially ruined my awards ceremony. Thank you!","Dec 11, 2019"
Abbas was amazing.,"Abbas was amazing. they were able to tell me the issue, fix it, and also get my items resent to me. really appreciate the customer service!","Dec 11, 2019"
The customer service chat was great,The customer service chat was great! but the delivery was terrible.,"Dec 11, 2019"
preciso e disponibile 24h,preciso e disponibile 24h,"Dec 11, 2019"
Great communication,Great communication,"Dec 11, 2019"
The person was very kind but the…,"The person was very kind but the answers last too long. For example, just an easy question like (from where my orders were sent: from Europe or from Us) it took me more than 10 minutes to answer it. Or for example: I have to pay entrance taxes to the country if I am from Belgium and apparently the person did not know, so we had to wait another 10 minutes.","Dec 11, 2019"
Wonderful customer service,"Wonderful customer service, quick response time and detailed message. Thank you","Dec 11, 2019"
Very quick response,"Very quick response, helpful and nice","Dec 11, 2019"
Abbas of the Asos live chat was a great…,"Abbas of the Asos live chat was a great help, quick to connect, reply and solve my issue in a kind and personal manner, very polite and welcoming, great service!","Dec 11, 2019"
Absolutely disgusted with the service I…,"Absolutely disgusted with the service I have received, I have used ASOS for many years and even pay for the next day delivery VIP each year. On Black Friday I received an email about an item I had ordered being delayed, I received no updated and contacted them multiple times and have Been ignored everytime. It is almost 2 weeks later and I have not received my items. I have also recently found another order I haven’t got but have received no email detailing the delay. Disgusted with the service I received I can’t even return the items as I can’t get In touch with anybody","Dec 11, 2019"
Quick and efficient resolution,Jerome was quite professional and prompt in resolving my issue.,"Dec 11, 2019"
Pretty efficient and fast response,Pretty efficient and fast response,"Dec 11, 2019"
Easy to communicate with when dealing…,Easy to communicate with when dealing with my refund as I was confused how it worked.,"Dec 11, 2019"
My package says it was delivered but...,My package says it was delivered but nothing arrived to me. Harry was super helpful and placed a replacement order for me. Thank you Harry!,"Dec 11, 2019"
Customer service,Very helpful chat in which all of my problems were sorted efficiently,"Dec 11, 2019"
Terrible service,Terrible service Next day delivery pushed into next day without notification prior to placing order even though the normal next day delivery has not surpassed Issues with delivery’s not being received No complaints procedure No one goes above and beyond,"Dec 11, 2019"
Very helpful,"Very helpful, my query was resolved quickly. Mabz was polite and friendly","Dec 11, 2019"
I prefer online chats as it makes the…,I prefer online chats as it makes the process easier when there is an issue.,"Dec 11, 2019"
